Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
Sri Banashankari Donne Biriyani,Quick Bites,3.7,80,150,Yes,No,Biryani,Kammanahalli
Sri Banashankari Upahara,Quick Bites,2.8,40,150,Yes,No,"North Indian, South Indian",Banashankari
Sri Bhagya Grand,Casual Dining,3.4,185,450,Yes,No,"South Indian, North Indian, Chinese, Street Food, Beverages","Byresandra,Tavarekere,Madiwala"
Sri Bhagya Veg,Quick Bites,2.8,40,300,No,No,"North Indian, Chinese",HSR
Sri Brahmi Kuteera,Quick Bites,3.4,40,150,No,No,South Indian,Jayanagar
Sri Dalma,Quick Bites,3.8,77,350,Yes,No,"Oriya, Bengali",Bellandur
Sri Datta Biryani House,Quick Bites,3.5,54,300,No,No,"Andhra, Biryani, Chinese, North Indian",Kalyan Nagar
Sri Devi Baker's,"Bakery, Quick Bites",3.9,41,200,No,No,"Bakery, Street Food","Byresandra,Tavarekere,Madiwala"
Sri Devi Cafe,Quick Bites,3.7,33,200,No,No,"South Indian, Chinese",Frazer Town
Sri Devi Darshan,Quick Bites,2.8,40,200,No,No,South Indian,Bannerghatta Road
Sri Devi Sagar,Quick Bites,3.7,161,300,No,No,"South Indian, North Indian, Chinese, Street Food",Kalyan Nagar
Sri Durga Cane Fresh,Beverage Shop,3.4,5,100,No,No,"Juices, Beverages, Fast Food","Byresandra,Tavarekere,Madiwala"
Sri Durga Chats and Juice,Quick Bites,4,182,150,Yes,No,"Fast Food, Street Food, Juices",Rajajinagar
Sri Durga Fast Food,Quick Bites,2.8,40,100,No,No,Fast Food,Koramangala 4th Block
Sri Durga Grand,Quick Bites,3.3,5,300,No,No,"South Indian, Chinese",Malleshwaram
Sri Durga Nellore Mess,Mess,3.3,351,350,Yes,No,"Andhra, South Indian, Biryani",Kalyan Nagar
Sri Fast Food,Quick Bites,3.1,5,200,No,No,"Chinese, Biryani",Brookefield
Sri Ganesh Fruit Juice Centre,Beverage Shop,3.2,4,100,Yes,No,"Juices, Beverages","Byresandra,Tavarekere,Madiwala"
Sri Ganesh Juice and Chats,"Beverage Shop, Quick Bites",3.5,18,150,No,No,"Juices, Street Food",Banashankari
Sri Ganesh Juice Corner,Quick Bites,3,9,150,No,No,"Juices, Fast Food","Byresandra,Tavarekere,Madiwala"
Sri Ganesh Juice Junction,Beverage Shop,3.5,5,200,Yes,No,"Juices, Fast Food",Bellandur
Sri Ganesh Sweets,Sweet Shop,3.7,16,250,No,No,Mithai,Basavanagudi
Sri Ganesh Upahar,Quick Bites,3.4,11,400,No,No,South Indian,Sarjapur Road
Sri Ganesha Fruit Juice Centre,Beverage Shop,3.2,17,100,Yes,No,"Juices, Beverages",Indiranagar
Sri Guru Kottureshwara Davangere Benne Dosa,Quick Bites,4.1,558,150,Yes,No,South Indian,Banashankari
Sri Guru Nalapaka Restaurant,Casual Dining,3.5,20,550,No,No,"North Indian, South Indian, Chinese, Street Food",Whitefield
Sri Guru Vaibhava Veg,Quick Bites,2.8,40,250,No,No,"South Indian, North Indian, Chinese, Street Food",Kalyan Nagar
Sri Gurudev Darshini,Quick Bites,3.4,13,150,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Sri Idli Mane,Quick Bites,3.7,16,150,No,No,South Indian,Basavanagudi
Sri Jayadurga Biryani,"Takeaway, Delivery",3.7,38,300,Yes,No,Biryani,Brookefield
Sri Jayalakshmi Bakery,Bakery,3.3,5,250,No,No,"Bakery, Beverages",Residency Road
Sri Krishna Aramane,Quick Bites,3.7,40,200,Yes,No,"South Indian, North Indian, Chinese, Fast Food",Banashankari
Sri Krishna Bhavan,Quick Bites,3.4,14,250,No,No,"South Indian, North Indian",Kammanahalli
Sri Krishna Bhavan Sweets,"Sweet Shop, Quick Bites",3.9,56,350,No,No,"Mithai, Street Food",New BEL Road
Sri Krishna Darshini,Quick Bites,3.1,4,200,No,No,"South Indian, North Indian, Chinese",Basavanagudi
Sri Krishna Foodline,Quick Bites,3.3,4,100,No,No,North Indian,Brigade Road
Sri Krishna Kitchen,Quick Bites,3.6,22,350,Yes,No,"North Indian, Chinese",Bellandur
Sri Krishna Sagar,Casual Dining,3.2,119,400,Yes,No,"North Indian, Chinese",Banashankari
Sri Krishna Sweets,Sweet Shop,3.7,22,250,Yes,No,Mithai,Jayanagar
Sri Krishna Upahar,Quick Bites,3.6,25,250,No,No,South Indian,Bellandur
Sri Krishna Veg,Quick Bites,3.5,4,100,No,No,South Indian,Basavanagudi
Sri Krishnar Sweets,"Quick Bites, Sweet Shop",3.3,7,150,No,No,"Street Food, Mithai",Marathahalli
Sri Lakshmi Curries & Pickles,Casual Dining,2.9,60,400,No,No,"Andhra, Biryani",Bannerghatta Road
Sri Lakshmi Darshini,Quick Bites,3.4,5,150,No,No,"South Indian, North Indian",Indiranagar
Sri Lakshmi Dhaba,Quick Bites,2.9,255,250,Yes,No,North Indian,Bannerghatta Road
Sri Lakshmi Hotel,Quick Bites,3.4,7,250,Yes,No,"Chinese, South Indian",Whitefield
Sri Lakshmi Kabab Center,Quick Bites,3.3,4,200,No,No,Kebab,Banashankari
Sri Lakshmi Vaibhav,Casual Dining,4,156,500,Yes,No,"South Indian, North Indian, Chinese",Brookefield
Sri Laxmi Venkateshwara Coffee Bar,Quick Bites,4.4,343,100,No,No,South Indian,Banashankari
Sri Manjunatha Foods,Quick Bites,3.6,14,250,Yes,No,"South Indian, North Indian, Chinese",Electronic City
Sri Maruthi Hotel,Quick Bites,3.9,66,300,No,No,South Indian,Rajajinagar
Sri Maruthi Miltry Hotel,Quick Bites,3.8,94,300,Yes,No,South Indian,Malleshwaram
Sri Matha Sagar,Quick Bites,2.8,21,250,No,No,"North Indian, Chinese, South Indian",Electronic City
Sri Murali Krishna,Casual Dining,2.8,40,600,Yes,No,"North Indian, Chinese, Biryani",Bellandur
Sri Nandi Grand,Quick Bites,3.4,6,300,Yes,No,"North Indian, South Indian",Bannerghatta Road
Sri Nanjundeshwara Canteen,Quick Bites,2.8,40,150,No,No,South Indian,Bannerghatta Road
Sri Pillaiyar Bhavan,Quick Bites,4,117,300,Yes,No,Chettinad,Electronic City
Sri Punjabi Dhaba,Dhaba,3.2,44,400,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala"
Sri Raghavendra Davanagere Benne Dose Hotel,Quick Bites,4,36,200,No,No,South Indian,JP Nagar
Sri Raghavendra Prasanna Coffee Beans Club,Quick Bites,2.8,40,150,No,No,South Indian,Banashankari
Sri Raghavendra Prasanna Coffee Club,Quick Bites,3.6,9,100,No,No,South Indian,Lavelle Road
Sri Rajalakshmi Sweets,Sweet Shop,3.6,22,300,Yes,No,"Mithai, Street Food",Brookefield
Sri Rajasthani Foods,Quick Bites,3.5,9,200,Yes,No,"Rajasthani, North Indian",Basavanagudi
Sri Rama,Quick Bites,3.2,4,200,No,No,South Indian,Church Street
Sri Rama Vilas Sweets,Sweet Shop,3.8,30,150,No,No,"Mithai, Desserts",Church Street
Sri Ruchi Restuarant,Casual Dining,3.7,71,450,Yes,No,"Andhra, South Indian, North Indian",Kalyan Nagar
Sri Sagar,Quick Bites,3.5,11,300,No,No,"South Indian, Street Food",Kalyan Nagar
Sri Sai 99 Variety Dosa,Quick Bites,3.6,37,300,Yes,No,South Indian,Basavanagudi
Sri Sai Bhavan,Quick Bites,3.6,37,300,Yes,No,South Indian,Brookefield
Sri Sai Cafe,Quick Bites,3.5,10,200,Yes,No,South Indian,Banashankari
Sri Sai Darshini Veg Restaurant,Quick Bites,2.8,40,300,No,No,South Indian,Brookefield
Sri Sai Dosa Center,Quick Bites,2.8,40,100,No,No,South Indian,Malleshwaram
Sri Sai Grand,Casual Dining,3.6,73,0,No,No,"Biryani, North Indian",Kalyan Nagar
Sri Sai Mango Tree Restaurant,Casual Dining,3.6,336,600,No,No,"North Indian, Biryani, Chinese",Bellandur
Sri Sai Palace,Quick Bites,3.8,88,300,Yes,Yes,"South Indian, North Indian, Chinese, Fast Food",Whitefield
Sri Sai Ram's,Quick Bites,4.2,61,200,No,No,Street Food,Malleshwaram
Sri Sairam's Chats and Juice,Quick Bites,4.2,471,100,No,No,Street Food,Malleshwaram
Sri Sankara Cafe,Quick Bites,3.6,26,100,Yes,No,South Indian,Bannerghatta Road
Sri Sapana Dhaba,Quick Bites,3.2,11,250,Yes,No,North Indian,Jayanagar
Sri Saravana Bhavan,Quick Bites,3.7,35,200,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Sri Shakti Sweets,"Sweet Shop, Quick Bites",3.4,9,150,No,No,"Mithai, Street Food",Malleshwaram
Sri Shankar Andhra Mess,Mess,3.3,4,200,No,No,South Indian,Whitefield
Sri SLV Bhavan,Quick Bites,2.8,40,250,No,No,South Indian,Bannerghatta Road
Sri Srinivas Park Hotel,Quick Bites,2.8,40,250,Yes,No,"North Indian, South Indian",Brigade Road
Sri Udupi,Quick Bites,0,40,400,Yes,No,"South Indian, North Indian, Chinese, Beverages",Old Airport Road
Sri Udupi Deluxe,Quick Bites,3.5,11,400,No,No,"North Indian, Chinese, South Indian, Fast Food",Old Airport Road
Sri Udupi Food Hub,Casual Dining,2.8,40,500,No,No,"South Indian, North Indian, Chinese, Beverages",Indiranagar
Sri Udupi Grand,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian, Chinese",Brigade Road
Sri Udupi Park,Casual Dining,3.1,226,500,Yes,No,"South Indian, North Indian, Chinese, Beverages",Bellandur
Sri Udupi Sagar,Quick Bites,3.5,12,200,No,No,South Indian,"Byresandra,Tavarekere,Madiwala"
Sri Udupi Veg,Quick Bites,3.3,4,250,No,No,South Indian,Banashankari
Sri Vasavi Mane Thindi,Quick Bites,2.9,16,150,No,No,South Indian,Basavanagudi
Sri Vasavi Restaurant,Quick Bites,3.6,30,250,No,No,"Chinese, Biryani",Sarjapur Road
Sri Vasavi Super Sandwich,Quick Bites,3.1,19,200,No,No,"Fast Food, Sandwich, Juices",Indiranagar
Sri Venkateshwar Bhavan,Quick Bites,3.5,7,200,No,No,"South Indian, Chinese, Seafood",Malleshwaram
Sri Venkateshwara Chat Centre,Quick Bites,3.5,12,100,No,No,Street Food,Banashankari
Sri Venkateshwara Sweet House,Dessert Parlor,3.3,8,100,No,No,Desserts,Malleshwaram
Sri Venkateshwara Sweet Meat Stall,Quick Bites,4.1,201,250,No,No,Street Food,Jayanagar
Sri Venkateshwara Sweetmeat Stall,Sweet Shop,3.8,28,300,No,No,"Mithai, Street Food",Malleshwaram
Sri Venkateshwara Sweets Chats Juice Centre,Beverage Shop,3.4,5,100,No,No,"Beverages, Juices, Street Food",Kalyan Nagar
Sri Vinayaka 99 Variety Dosa,Quick Bites,3.2,4,350,No,No,South Indian,Marathahalli
Sri Vinayaka Andhra Mess,Mess,3.3,4,300,No,No,Andhra,"Byresandra,Tavarekere,Madiwala"
Sri Vishnu Grand,Casual Dining,3.8,135,400,Yes,No,"South Indian, North Indian, Chinese",Bellandur
Sri Vishnu Grand & Garden Restaurant,Quick Bites,3.8,7,500,Yes,No,"South Indian, North Indian, Fast Food",Bellandur
Sri Vishnu Park,Casual Dining,3.8,40,350,Yes,No,"South Indian, North Indian, Chinese",Koramangala 5th Block
Sri Vishnu Upahar,Quick Bites,3.6,28,250,No,No,"North Indian, South Indian",Koramangala 4th Block
Sri Vishnu Veg,Quick Bites,3.5,11,200,Yes,No,South Indian,Bellandur
Sri Vishnupriya,Quick Bites,3,67,300,No,No,"South Indian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Sri Yaksha Shiv Sagar,Casual Dining,3.6,24,600,Yes,No,"North Indian, Chinese",Banashankari
Sriji's Mithai,"Dessert Parlor, Sweet Shop",3.4,5,150,No,No,"Desserts, Mithai",Electronic City
Srikrishna Bhavan,Quick Bites,3.8,42,300,Yes,No,"South Indian, North Indian, Chinese",Banashankari
Srinagar Kabab Corner,Quick Bites,3.4,10,250,No,No,North Indian,Banashankari
Srinathjis,"Casual Dining, Cafe",3.6,62,550,Yes,No,"North Indian, Cafe, Chinese",Kalyan Nagar
Srinathji's,Casual Dining,3.6,592,850,Yes,Yes,"Biryani, Chinese, Continental, North Indian, Pizza",Indiranagar
Srinathji's Cafe,"Casual Dining, Cafe",3.8,148,550,No,No,"North Indian, Cafe, Chinese, Fast Food",Banashankari
Srinidhi Donne Biryani,Quick Bites,3.2,11,300,No,No,Biryani,Rajajinagar
Srinidhi Real Food,Quick Bites,3.6,26,200,No,No,"South Indian, Chinese, Fast Food",Brigade Road
Srinidhi Sagar,Quick Bites,3.4,83,300,No,No,"South Indian, North Indian, Chinese",Rajajinagar
Srinidhi Sagar Deluxe,Quick Bites,3.6,108,40,Yes,No,"South Indian, North Indian, Chinese",Koramangala 4th Block
Srinidhi Sagar Food Line,Quick Bites,3.7,129,40,Yes,No,"South Indian, North Indian, Chinese",Brigade Road
Srinidhi Upachar,Quick Bites,3.6,70,200,No,No,"South Indian, Chinese",Kalyan Nagar
Srinidhi Veg Food Court,Quick Bites,3.9,40,300,Yes,No,"Chinese, North Indian, South Indian",Kammanahalli
Srinivasa Brahmins Bakery,"Bakery, Quick Bites",3.6,16,150,No,No,"Bakery, Street Food",Banashankari
Srinivasa Mess,Mess,3.7,34,300,No,No,"Andhra, Chinese",Koramangala 7th Block
Sriracha,Casual Dining,4.3,687,1500,No,No,"Thai, Chinese, Indonesian, Asian, Momos",Brigade Road
Sriracha Robata & Contemporary Pan Asian Dining,Casual Dining,2.8,40,1000,No,No,"Asian, BBQ, Seafood, Chinese",Indiranagar
Sri's Kitchen,Takeaway,2.8,40,300,No,No,"North Indian, South Indian, Chinese",Jayanagar
Srushti Coffee,Quick Bites,3.4,9,300,No,No,South Indian,Rajajinagar
Srushti Veg,Casual Dining,3.3,6,600,No,No,"North Indian, South Indian, Chinese",Rajajinagar
SS Bucket Biryani,Casual Dining,3.9,135,600,No,No,"Biryani, North Indian, Chinese",Frazer Town
Ssaffron - Shangri-La Hotel,"Fine Dining, Bar",4.4,751,3000,No,Yes,North Indian,Lavelle Road
SSV Upahar,Quick Bites,2.8,40,300,Yes,No,"South Indian, Chinese",Banashankari
St. Mary's Cafe,"Takeaway, Delivery",2.8,40,150,No,No,"Cafe, Chinese, South Indian",Indiranagar
Star Ambur Dum Biryani,Quick Bites,3.2,5,200,No,No,Biryani,Electronic City
Star Biryani & Kebab Centre,Quick Bites,3.4,10,150,No,No,"Biryani, Kebab",Rajajinagar
Star Bowl,Delivery,3.7,27,700,Yes,No,"North Indian, Chinese, Rolls",Koramangala 6th Block
Star Briyani,Quick Bites,2.8,40,200,No,No,"Biryani, North Indian",Electronic City
Star Food County,Kiosk,3.4,11,300,Yes,No,Fast Food,New BEL Road
Star Kitchen,Quick Bites,3.3,9,150,No,No,"Chinese, North Indian, Biryani","Byresandra,Tavarekere,Madiwala"
Starbucks,Cafe,3.5,6,700,No,No,"Cafe, Desserts",Frazer Town
Stark Bistro,Casual Dining,3.6,30,850,Yes,Yes,"Continental, North Indian, Chinese, Burger, Pizza, Salad",HSR
Starlite Bakery & Fastfood,Quick Bites,3.7,23,300,Yes,No,"North Indian, Chinese, Rolls, Bakery, Arabian, Charcoal Chicken, Desserts",Banashankari
Starnese,Casual Dining,3.4,6,800,No,No,"North Indian, Chinese, South Indian",Brookefield
Stars 'N' Stripes,Quick Bites,2.7,77,500,No,No,"North Indian, Chinese, Fast Food",Brigade Road
Starter House,Quick Bites,2.8,40,250,Yes,No,"Chinese, Continental",Brookefield
Status,Casual Dining,3.2,66,600,Yes,No,"North Indian, Chinese",Bannerghatta Road
Status Bar& Restaurant,Bar,3.3,4,1000,No,No,"Chinese, Finger Food",Lavelle Road
Steaming Mugs,Cafe,3.9,240,700,Yes,No,Cafe,Banashankari
Step Right Up,Cafe,4.1,152,300,Yes,No,"Cafe, Italian",Brigade Road
Stevie's,Cafe,4,69,500,Yes,No,Cafe,Malleshwaram
Sticke2Waffles,Dessert Parlor,0,40,100,No,No,"Desserts, Ice Cream",Basavanagudi
StikSnax,Quick Bites,2.6,19,300,No,No,Fast Food,Malleshwaram
Still Sipping,Cafe,2.8,40,800,Yes,Yes,"Cafe, Continental, Coffee","Byresandra,Tavarekere,Madiwala"
Stir Fry,Casual Dining,4,209,500,No,No,"Chinese, Momos",Brigade Road
Stoked!,Cafe,4.3,294,850,No,No,"Cafe, Italian, Pizza",Koramangala 4th Block
Stoned Monkey,Dessert Parlor,3.9,228,500,Yes,No,"Desserts, Ice Cream",Bellandur
Stonelicious,Dessert Parlor,4.1,284,300,Yes,No,"Desserts, Ice Cream",Brookefield
Stoner,Dessert Parlor,4.4,2697,550,Yes,No,"Ice Cream, Pizza, Beverages",MG Road
Stop N Joy,Quick Bites,2.8,40,150,No,No,"Street Food, Beverages","Byresandra,Tavarekere,Madiwala"
Stop 'N' Joy,Quick Bites,3.8,28,150,Yes,No,Fast Food,Banashankari
Stories,"Casual Dining, Bar",4.6,2315,1100,Yes,Yes,"Continental, North Indian, Chinese",Malleshwaram
Story Time,"Cafe, Quick Bites",3.7,15,500,No,No,"North Indian, South Indian, Andhra, Cafe",Bellandur
Strada Kitchen & Bar,Casual Dining,3.4,7,1000,No,No,"Chinese, North Indian, South Indian",Electronic City
Straight From The Heart,Bakery,3.4,5,300,No,No,"Bakery, Desserts",Koramangala 4th Block
Strawbees,Bakery,3.8,52,350,Yes,No,"Bakery, Desserts",Marathahalli
Strawberry Moon,"Casual Dining, Bar",3.4,5,1500,No,No,Finger Food,Lavelle Road
Street Foods by Punjab Grill,Food Court,3.6,19,800,Yes,No,"Street Food, North Indian, Beverages",Bannerghatta Road
Strikers Sports Bar and Music,Bar,3.8,73,1200,No,Yes,"Continental, North Indian, Chinese",Brigade Road
Stuffd,"Takeaway, Delivery",3.8,32,500,Yes,No,"Continental, North Indian",Indiranagar
Sub Spot,Delivery,3.3,4,400,No,No,"Salad, Sandwich",Koramangala 4th Block
Subham Pal Kitchen,Quick Bites,3.3,10,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Subhash Mess,Mess,3.7,23,200,No,No,North Indian,New BEL Road
Subway,Food Court,3.6,12,600,Yes,No,"Salad, Fast Food",Bellandur
Subz,Casual Dining,4.2,2022,1000,Yes,Yes,"North Indian, South Indian",Banashankari
Subzero Korner,Quick Bites,3.3,5,250,No,No,Fast Food,Basavanagudi
Suchi Ruchi Veg & Non Veg Resturant,Quick Bites,3.2,4,400,No,No,"South Indian, North Indian",Bannerghatta Road
Suchithra Biryani House,Casual Dining,3.7,287,450,No,No,"Andhra, Biryani, North Indian",Indiranagar
Sudhir Vada Pav & Paratha Center,Quick Bites,3.4,11,250,Yes,No,Street Food,Brookefield
Sufi Restaurant & Cafe,Casual Dining,3.7,105,800,Yes,No,"Iranian, Mughlai, Chinese",Kalyan Nagar
Sufra Restaurant,Casual Dining,3.7,111,800,Yes,Yes,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Sugar & Spice - Taj MG Road Bengaluru,Dessert Parlor,4,79,800,No,No,Desserts,Brigade Road
Sugar N Spice,Quick Bites,2.7,16,400,No,No,"Fast Food, Beverages",Kalyan Nagar
Sugar Rush,Bakery,3.8,39,300,No,No,"Bakery, Desserts",Banashankari
Sugarberryz Cakery,"Takeaway, Delivery",3.9,52,1200,No,No,"Bakery, Desserts",Brigade Road
SugarLove,Delivery,3.5,9,1000,No,No,Desserts,Marathahalli
Sugary Bakers - A Boutique Bakery,Bakery,0,40,200,No,No,"Bakery, Desserts",Koramangala 6th Block
Sukh Sagar,Casual Dining,2.7,182,450,Yes,No,"North Indian, South Indian, Chinese, Beverages",Kalyan Nagar
Sukh Sagar Express,Food Court,3.7,89,500,Yes,No,"North Indian, Chinese, Fast Food, Street Food",Malleshwaram
Sukh Sagar Food Court,Quick Bites,3.8,54,350,No,No,"North Indian, South Indian, Chinese, Desserts, Street Food",Lavelle Road
Sukhi Bhava,Quick Bites,3.6,21,300,Yes,No,"Andhra, Chinese, Biryani",Bellandur
Sukhi's Restaurant,Quick Bites,2.7,28,250,No,No,"North Indian, Chinese, Momos",Marathahalli
Sulaimani Chai,Quick Bites,3.8,21,100,No,No,"Fast Food, Beverages","Byresandra,Tavarekere,Madiwala"
Sulemani Chichas,Quick Bites,2.8,40,300,Yes,No,"Biryani, Hyderabadi, Kebab",Kalyan Nagar
Sultan - Palace Darbar Restaurant,Quick Bites,3.2,7,400,No,No,"North Indian, Chinese",Kammanahalli
Sultan Rolls & Sandwiches,Quick Bites,3.9,59,300,No,No,"Fast Food, Rolls",New BEL Road
Sultan Shah's Restaurant,Quick Bites,3.2,9,200,No,No,North Indian,Brigade Road
Sultan's Biryani,Delivery,2.8,21,700,No,No,"Biryani, North Indian",Indiranagar
Sultan's Creams & Faloodas,Dessert Parlor,3.3,4,150,Yes,No,"Ice Cream, Beverages",Frazer Town
Sultans of Spice,Casual Dining,4.5,3458,1300,Yes,Yes,"North Indian, Mughlai, Salad","Byresandra,Tavarekere,Madiwala"
Sultan's Restaurant,Quick Bites,3.2,37,200,Yes,No,"Hyderabadi, Biryani",Rajajinagar
Sumac Resto Cafe,Cafe,2.8,40,400,No,No,"Cafe, Turkish",Kalyan Nagar
Sumadhura Foods,Quick Bites,3.5,108,300,Yes,No,"North Indian, Fast Food",New BEL Road
Sumai Foods,Delivery,3.2,4,350,No,No,"North Indian, Chinese, Fast Food",HSR
Sun Cafe,Quick Bites,3.3,4,300,No,No,"North Indian, Chinese, Rolls",New BEL Road
Sunaina Sapice,Quick Bites,3.3,7,200,Yes,No,"South Indian, North Indian, Chinese",Malleshwaram
Sunehri,Casual Dining,3.7,67,500,No,No,South Indian,Brigade Road
Sunmart Ice Cream Parlour,Dessert Parlor,2.8,40,100,No,No,Ice Cream,New BEL Road
Sunny Cafe & Kitchen,"Cafe, Casual Dining",3.8,499,700,Yes,Yes,"Cafe, Continental, Beverages, Desserts","Byresandra,Tavarekere,Madiwala"
Sunny Side Bistro,Cafe,3.7,69,700,No,No,"Cafe, Continental",Indiranagar
Sunny Spice Chinese Restaurant,Casual Dining,3.3,44,650,Yes,No,"Chinese, Thai, Seafood",Malleshwaram
Sunny's,Casual Dining,2.8,40,2100,No,No,"European, Italian, Seafood, Continental",Old Airport Road
Sunny's Kitchen,"Takeaway, Delivery",3.6,62,500,Yes,No,"Continental, American",Koramangala 6th Block
Sunshadow.in,Delivery,3.5,10,400,No,No,"North Indian, Chinese",Marathahalli
Super Chef's (New Royal treat),Quick Bites,0,40,0,No,No,"North Indian, Chinese, South Indian",Basavanagudi
Supreme Biryani,Delivery,3.3,18,400,Yes,No,Biryani,Bellandur
Surabhi Restaurant,Casual Dining,0,40,400,No,No,"South Indian, North Indian, Chinese, Desserts, Fast Food, Ice Cream",Koramangala 6th Block
Surya Bakery,Bakery,3.5,21,200,No,No,Bakery,Brigade Road
Surya Refreshments,Quick Bites,3.9,40,150,Yes,No,South Indian,Malleshwaram
Suryawanshi,Casual Dining,3.7,16,700,Yes,No,"Maharashtrian, Seafood",Bannerghatta Road
Sutra - The Lalit Ashok Bangalore,Lounge,3.8,273,2200,No,No,"Continental, Chinese",Malleshwaram
Sutra Spice-The Resto Bar,Bar,3.8,34,1000,No,No,"South Indian, Andhra",Koramangala 6th Block
Suvaai Restaurant,Quick Bites,3.3,11,100,Yes,No,South Indian,Indiranagar
Suvai Factory,Casual Dining,3.7,20,600,Yes,Yes,"North Indian, South Indian, Chinese",Marathahalli
Suvarna Sree Food Paradise,Quick Bites,2.8,40,400,Yes,No,"South Indian, Chinese, North Indian, Biryani, Kebab, Andhra",Kalyan Nagar
SV Crispy Chicken,Quick Bites,3.5,12,200,No,No,Fast Food,Electronic City
SV Food Garden,Quick Bites,0,40,0,No,No,"Chinese, North Indian, South Indian, Hyderabadi",Koramangala 6th Block
SV Indian Restaurant,Quick Bites,3.4,12,400,No,No,"North Indian, Chinese",Kammanahalli
SV Juice Corner,Beverage Shop,3.3,6,150,No,No,"Beverages, Fast Food",JP Nagar
SV Restaurant,Casual Dining,3.1,8,550,Yes,No,"Andhra, North Indian, Chinese, Biryani",Whitefield
Svadu Sweets,"Quick Bites, Sweet Shop",3.3,5,150,No,No,"Street Food, Mithai","Byresandra,Tavarekere,Madiwala"
Svadu Sweets & Savouries,"Quick Bites, Sweet Shop",3.7,26,200,No,No,"Street Food, Mithai","Byresandra,Tavarekere,Madiwala"
Svi Food And Juice,Quick Bites,2.8,40,250,No,No,North Indian,Brigade Road
SVKP Daily Fresh,Quick Bites,3.3,5,350,No,No,South Indian,Banashankari
SVR Foods - Night Ka Khana,Delivery,3.5,15,400,No,No,"North Indian, South Indian","Byresandra,Tavarekere,Madiwala"
Swaad,Quick Bites,3.1,25,200,Yes,No,North Indian,Indiranagar
Swaadam Veg,Casual Dining,3.6,34,300,Yes,No,"South Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Swaadishta Restaurant,Casual Dining,2.5,60,750,No,No,"Andhra, North Indian, Chinese, Mangalorean",Malleshwaram
Swaadpurna,Casual Dining,3.6,51,450,Yes,No,"North Indian, South Indian, Chinese, Biryani",Indiranagar
Swad,Casual Dining,3.7,38,500,No,No,"North Indian, Chinese",Electronic City
Swad E Punjab,Casual Dining,3.4,6,600,No,No,North Indian,Brookefield
Swad 'E' Punjab,Casual Dining,3.6,49,500,Yes,No,"North Indian, Chinese, Mughlai","Byresandra,Tavarekere,Madiwala"
Swad Plaza,Quick Bites,3.4,6,400,Yes,No,"North Indian, Chinese",Bannerghatta Road
Swad Punjab Da,Quick Bites,3.7,41,150,Yes,No,North Indian,Bannerghatta Road
Swad Punjabi Dhaba,Quick Bites,3.6,20,300,No,No,North Indian,Marathahalli
Swad Rajasthani Bhojanalaya,Quick Bites,3.1,7,400,No,No,"North Indian, Fast Food",Whitefield
Swad Restaurant,Casual Dining,3.7,115,500,Yes,No,"North Indian, Chinese, Seafood",Jayanagar
Swadd Kitchen,Casual Dining,3.4,4,500,Yes,No,"North Indian, Fast Food",Banashankari
Swad-Deshi Restaurant,Quick Bites,3.5,13,300,Yes,No,"South Indian, Chinese",Brookefield
Swadesh Tadka,Casual Dining,3.5,179,600,Yes,No,"North Indian, Chinese, Beverages",Banashankari
Swadh Biryani Tandoori Spot,Quick Bites,2.8,40,200,No,No,"Biryani, Fast Food",Malleshwaram
Swadisht Inn,Casual Dining,3.5,15,700,No,No,"Andhra, South Indian, Biryani, North Indian, Mangalorean",Malleshwaram
Swadisht North Indian Restaurant,Quick Bites,3.2,23,200,No,No,North Indian,HSR
Swadishta,Quick Bites,3.4,7,200,No,No,"South Indian, Chinese, North Indian",Whitefield
Swadist Pakhal Restaurant,Casual Dining,3.5,16,550,Yes,No,"North Indian, Chinese, Bengali",Sarjapur Road
Swadist Restaurant,Quick Bites,3.4,16,300,No,No,"Oriya, South Indian, Fast Food",Marathahalli
Swadista Aahar,Quick Bites,4.1,775,300,Yes,No,"South Indian, North Indian, Chinese, Street Food",Bannerghatta Road
Swagatham Delux - Rayalaseema Spices,Casual Dining,3.4,24,600,Yes,No,"Biryani, South Indian, Chinese",Kalyan Nagar
Swarga Ruchi,Quick Bites,3.3,10,200,Yes,No,South Indian,Banashankari
Swasthaa,Casual Dining,2.8,40,600,No,No,"Continental, Desserts, Italian, Japanese, Mexican",Brigade Road
Swasthi Spice Restaurant,Casual Dining,3.4,589,600,Yes,No,"Andhra, North Indian, Chinese, Biryani",Malleshwaram
Swathi,Casual Dining,3.8,591,700,Yes,No,"Andhra, North Indian, Chinese",Malleshwaram
Swathi Delux,Casual Dining,3.2,11,450,No,No,"North Indian, Chinese, Andhra",Rajajinagar
