Restaurant _Name,Restaurant _Type,Rating,Votes,Avg_Cost (two people),Online_Order,Table_Booking,Cuisines_Type,Area
Adyar Ananda Bhavan - Sweets,"Takeaway, Delivery",3.4,6,200,Yes,No,"Mithai, Desserts","Byresandra,Tavarekere,Madiwala"
Adyar Ananda Bhavan Sweets,"Takeaway, Delivery",3.6,4,200,Yes,No,"Mithai, Desserts",JP Nagar
Afghani Tandoori Hub,Quick Bites,3.6,14,400,Yes,No,"Arabian, Afghan","Byresandra,Tavarekere,Madiwala"
Afoozoo - Ginger Hotel,Casual Dining,3.5,40,800,No,No,"North Indian, Chinese",Brookefield
Afrina's Kitchen,"Takeaway, Delivery",3.4,9,250,Yes,No,"Fast Food, Desserts",Frazer Town
Agarwal Food Service,Delivery,3.5,16,400,Yes,No,"North Indian, Chinese, Biryani",HSR
Agent Jack's Bar,Bar,4,377,1300,No,Yes,"Continental, North Indian, Italian",Kalyan Nagar
Agraharaa,Quick Bites,2.8,40,150,No,No,South Indian,Koramangala 4th Block
Agraharam Meal,"Takeaway, Delivery",3.7,61,300,No,No,"North Indian, South Indian",Marathahalli
Aha Juice Bar,Beverage Shop,3.6,13,200,No,No,"Beverages, Fast Food",Bannerghatta Road
Ahaan Restaurant,Delivery,2.8,76,300,Yes,No,"North Indian, Chinese",Frazer Town
AhimsaAmrit Green Cafe,Casual Dining,3.4,9,800,No,No,"Healthy Food, Salad, Continental",Indiranagar
Ahmad's Chicken Hut,Quick Bites,3.2,9,200,No,No,"North Indian, Chinese",Kalyan Nagar
Ahmed's Little Hut,Quick Bites,2.8,40,250,Yes,No,Fast Food,Bannerghatta Road
Ahmeds Takeaway Restaurant,"Takeaway, Delivery",2.8,40,250,No,No,"North Indian, Chinese",Frazer Town
Aioli,Casual Dining,4.2,783,1400,No,Yes,"Mediterranean, Continental, Italian, Salad",Kalyan Nagar
Airlines Hotel,Quick Bites,4,867,400,Yes,No,"South Indian, North Indian, Street Food",Brigade Road
Aisha Tharavad,Quick Bites,0,40,400,No,No,"South Indian, Kerala",Koramangala 6th Block
Aishwarya,Dhaba,3.3,6,450,No,No,"Chinese, North Indian",Whitefield
Aishwarya Parkland,Casual Dining,2.9,59,500,No,No,"Chinese, North Indian",Bannerghatta Road
Aishwarya Sweets,Sweet Shop,3.6,24,250,Yes,No,"Mithai, Street Food",Malleshwaram
Aishwarya Uphar,Quick Bites,2.8,40,150,No,No,"South Indian, North Indian",Brigade Road
Ajwa Thalassery Biryani,Quick Bites,3.9,42,500,Yes,Yes,"Biryani, South Indian",Bellandur
Akkad Bakkad,Casual Dining,3.9,72,600,Yes,Yes,"North Indian, Chinese",Electronic City
AKS Family Dhaba And Restaurant,Quick Bites,3.6,40,500,Yes,No,"North Indian, Mughlai, South Indian",Marathahalli
Akshara,Casual Dining,3.8,42,700,Yes,No,"North Indian, South Indian, Chinese",Electronic City
Akshatha Nati Style,Quick Bites,3.7,20,500,No,No,"South Indian, Chinese, North Indian",Rajajinagar
Akshaya Bar And Restaurant,"Casual Dining, Bar",2.8,40,600,Yes,No,"North Indian, South Indian, Chinese, Fast Food","Byresandra,Tavarekere,Madiwala"
AKSHAYA BIRYANI,Quick Bites,3.6,20,300,Yes,No,"Biryani, North Indian",Bellandur
Akshaya Deluxe,Casual Dining,4,336,500,Yes,No,"North Indian, Chinese, Seafood, Biryani",New BEL Road
Akshaya Donne Biriyani,Quick Bites,3,39,300,Yes,No,"Biryani, South Indian, Kebab",JP Nagar
Akshaya Family Restaurant,Quick Bites,3.2,4,150,Yes,No,"South Indian, North Indian",Kalyan Nagar
Akshaya Grand,Casual Dining,3.4,29,750,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala"
Akshaya Sambrama Veg Restaurant,Quick Bites,3.2,13,200,No,No,"South Indian, Chinese",Church Street
Akss - India Reimagined,Casual Dining,4.2,258,1800,No,Yes,"Modern Indian, North Indian",Malleshwaram
Al Amal Cafe,"Cafe, Quick Bites",4,74,300,No,No,"Cafe, Fast Food",Kalyan Nagar
Al Amanah Cafe,Quick Bites,4.4,1413,300,Yes,No,"Middle Eastern, Fast Food, Rolls",Frazer Town
Al Ameen Rolls Corner,Quick Bites,3.7,16,200,No,No,Rolls,Kalyan Nagar
Al Barack Cafetaria,Quick Bites,3.6,20,300,No,No,Arabian,Kalyan Nagar
Al Daaz,Casual Dining,4.2,567,550,Yes,No,"North Indian, Continental, BBQ",Bellandur
Al Diwan Biryanis And More,"Takeaway, Delivery",3.2,12,300,Yes,No,Biryani,Jayanagar
Al Ghani Resetaurant,Quick Bites,3.3,4,400,No,No,"Mughlai, Biryani",Kammanahalli
Al Habibi Restaurant,Quick Bites,3.5,17,300,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Al Hayath,Quick Bites,3.5,16,200,No,No,"North Indian, Chinese",Koramangala 5th Block
Al Hayath Ambur Biryani,Quick Bites,3.3,9,200,No,No,Biryani,Koramangala 4th Block
Al Karim,Casual Dining,3.7,90,0,No,No,"Mughlai, North Indian, Biryani, Chinese",Kammanahalli
Al Khaleej Snacks Corner,Quick Bites,2.8,40,200,No,No,"Lebanese, Fast Food, Beverages",Basavanagudi
Al Khansah,Casual Dining,3.9,370,550,Yes,No,"Biryani, Mughlai, Chinese, North Indian, Kebab",Bellandur
Al Khwaja,Casual Dining,3,13,400,No,No,"North Indian, Chinese",Bellandur
Al Madhina Roll House,Quick Bites,3.4,6,300,No,No,"North Indian, Chinese",Kammanahalli
Al Madina Family Restaurant,Quick Bites,2.8,40,500,No,No,"North Indian, South Indian, Arabian",Basavanagudi
Al Madina Roll House,Quick Bites,3.6,16,150,Yes,No,Biryani,Kalyan Nagar
Al Manar,Quick Bites,2.8,40,400,No,No,"South Indian, North Indian, Chinese",Koramangala 7th Block
Al Noor,Quick Bites,3.7,21,350,No,No,"North Indian, Chinese, Arabian, Rolls",Brigade Road
Al Sadique,Quick Bites,3.9,185,450,Yes,No,"North Indian, Mughlai, Chinese, Rolls",Rajajinagar
Al Sadique Restaurant,Quick Bites,3.4,32,350,No,No,"Mughlai, North Indian, Street Food",MG Road
Al Swaad Take Away,Quick Bites,3.1,12,350,Yes,No,"North Indian, South Indian, Arabian",Brigade Road
Al Taj Fast Food,Quick Bites,3.2,4,600,Yes,No,"Fast Food, North Indian, South Indian, Chinese",Rajajinagar
Al Zaiqa Hotel,Quick Bites,3.4,14,200,Yes,No,"Chinese, South Indian, Fast Food",Marathahalli
Alampur Bar And Restaurant,Casual Dining,3.7,42,900,Yes,No,"Chinese, South Indian, North Indian",Brigade Road
Alankar Restaurant,Casual Dining,2.8,40,800,No,No,"South Indian, North Indian, Chinese",Marathahalli
Alankrutha,Casual Dining,3.8,260,500,Yes,No,"Andhra, Biryani, North Indian, Chinese",Koramangala 5th Block
Alba - JW Marriott Bengaluru,Fine Dining,4.4,561,4000,No,Yes,Italian,Church Street
Al-Badia Restaurant,Casual Dining,4.2,89,700,No,No,Arabian,Kalyan Nagar
Al-Baik Kabab Corner,Quick Bites,3.2,25,350,Yes,No,"Kebab, Biryani",Malleshwaram
Al-Baik Tandoori Restaurant,Quick Bites,3.6,113,450,Yes,No,"North Indian, Chinese, Arabian, Biryani, Rolls",Frazer Town
Al-Bek,Casual Dining,3.9,682,650,Yes,No,"North Indian, Mughlai, Chinese, Seafood","Byresandra,Tavarekere,Madiwala"
Albert Bakery,Bakery,4.3,346,150,No,No,"Bakery, Fast Food",Frazer Town
Alchemy - The Chancery Pavilion,"Microbrewery, Casual Dining",4.3,446,2000,No,Yes,Modern Indian,Brigade Road
Alchemy Coffee Roasters,Cafe,4.2,704,500,No,No,Cafe,Basavanagudi
Alfa Family Restaurant,Casual Dining,3,27,400,No,No,"North Indian, Arabian, Chinese",Basavanagudi
Alfresco by Bene -Sheraton Grand Bangalore Hotel at...,"Bar, Casual Dining",3.7,77,2000,No,Yes,Continental,Malleshwaram
Al-Hyatt,Quick Bites,0,40,300,No,No,"Biryani, Chinese",Koramangala 6th Block
Ali Snacks Point,Quick Bites,3.4,5,150,Yes,No,"Chinese, Momos",Malleshwaram
Alibaba Cafe and Restaurant,Casual Dining,2.9,55,700,No,No,"Arabian, Middle Eastern",Kammanahalli
Alibi - Maya International Hotel,Casual Dining,1.8,224,1200,No,No,"North Indian, Continental, Chinese",Brigade Road
AlienSip,Beverage Shop,3.6,11,200,Yes,No,Juices,Bannerghatta Road
Alif Restaurant,Casual Dining,3.6,26,600,Yes,No,"North Indian, Chinese",Bannerghatta Road
Aligarh House,Delivery,4.4,98,400,Yes,No,"North Indian, Biryani, Awadhi, Mughlai","Byresandra,Tavarekere,Madiwala"
Alikemom,"Takeaway, Delivery",2.8,40,300,Yes,No,North Indian,Electronic City
All Aromas,Quick Bites,2.8,40,400,Yes,No,"North Indian, Biryani",Basavanagudi
All Saints Bakery,Bakery,3.6,23,200,No,No,Bakery,Brigade Road
All Shook Up,"Dessert Parlor, Beverage Shop",3.6,34,300,Yes,No,"Desserts, Beverages",Brookefield
All Shook Up!,"Dessert Parlor, Beverage Shop",3.6,19,300,Yes,No,"Desserts, Beverages",Malleshwaram
Allahabadi Tadaka,Casual Dining,2.9,46,250,No,No,North Indian,Indiranagar
Allana Kabab,Quick Bites,3.3,4,200,No,No,North Indian,Church Street
Alloro - The Oterra,Fine Dining,4,63,2500,No,Yes,Italian,Electronic City
Al-Madina,"Takeaway, Delivery",3.3,8,500,No,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala"
Al-Madina Restaurant,Casual Dining,3.4,22,400,No,No,"Arabian, North Indian, Chinese, Kerala",Basavanagudi
Al-Marhaba Restaurant,Quick Bites,2.8,40,400,Yes,No,"Arabian, Chinese, North Indian, Rolls, Momos",Bannerghatta Road
Al-Noor Restaurant,Quick Bites,2.8,40,400,Yes,No,"Chinese, North Indian, Mughlai",Kalyan Nagar
Alpha - House of Biryani & Tandoor,Casual Dining,3.3,387,800,Yes,No,"Biryani, North Indian, Chinese",Brookefield
Al-Sidique,Quick Bites,4,314,400,Yes,No,"North Indian, Chinese",Rajajinagar
alt,"Bar, Lounge",4.1,821,1900,No,Yes,Finger Food,Whitefield
Altaf's Chillies Restaurant,Casual Dining,3.8,229,500,Yes,No,"North Indian, Chinese",Frazer Town
Altaj Restaurant,Casual Dining,3.3,6,700,No,No,"North Indian, Chinese",Malleshwaram
Al-Taj Restaurant,Casual Dining,3.3,10,600,Yes,No,"South Indian, North Indian, Chinese",Rajajinagar
